0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14,14,2.0,2.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
8,8,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,1.0,13.0,13.0,13.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,
8,8,8.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
6,12,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,
6,6,6.0,6.0,6.0,11.0,11.0,11.0,11.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10,12,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,12,5.0,5.0,5.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,10,12.0,12.0,12.0,12.0,12.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,2.0,8.0,8.0,13.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
14,14,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14,14,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,
10,12,9.0,9.0,9.0,5.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
6,6,15.0,15.0,15.0,15.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
14,14,2.0,2.0,2.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
14,2,2.0,8.0,8.0,8.0,8.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,
14,14,14.0,14.0,2.0,2.0,2.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,12.0,12.0,12.0,5.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
14,14,3.0,3.0,3.0,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,1.0,1.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
8,8,2.0,2.0,2.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
14,8,8.0,8.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14,14,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
14,14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,
10,15,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,
8,2,2.0,8.0,8.0,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
6,6,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
6,6,15.0,15.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
14,14,14.0,14.0,14.0,2.0,2.0,2.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8,8.0,8.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,
2,2,8.0,8.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
2,8,8.0,8.0,8.0,8.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,11.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
